InventoryID,Description,Live Description,Current ItemClass,Live ItemClass,Proposed ItemClass,Warehouses,QtyOnHand Status,Current Vendor,Proposed VendorID,Proposed VendorName,Vendor Confidence,Vendor Match Reason,Spreadsheet VendorID,API Status,AuditStatus
83250976-99,Hook - Brushed Dark Platinum,Hook - Brushed Dark Platinum,PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
83500979-19,Tissue Holder Without Cover - Dark Chrome,Tissue Holder Without Cover - Dark Chrome,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,BA0000715 Dornbracht GmbH & Co. KG,BA0000715,Dornbracht GmbH & Co. KG,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000715.,,FOUND,READY
83500979-99,Tissue Holder Without Cover - Brushed Dark Platinum,Tissue Holder Without Cover - Brushed Dark Platinum,PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
83865-PG,Beauclere Shower Arm And Flange - Polished Gold,Beauclere Shower Arm And Flange - Polished Gold,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,BA0000714 Delta Faucet Company,BA0000714,Delta Faucet Company,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000714.,,FOUND,READY
83865-PN,Brizo Beauclere Shower Arm And Flange - Polished Nickel,Brizo Beauclere Shower Arm And Flange - Polished Nickel,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,BA0000714 Delta Faucet Company,BA0000714,Delta Faucet Company,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000714.,,FOUND,READY
8669046,Waste Disposer Throat - Gunmetal,Waste Disposer Throat - Gunmetal,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
86958145,Milano Young Slide Bar - Polished Nickel PVD,Milano Young Slide Bar - Polished Nickel PVD,PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,BA0000006,California Faucets,MEDIUM,brand-token SLIDE suggests BA0000006 in 48/50 existing vendor-populated StockItems; manual review required.,,FOUND,VENDOR_REVIEW_REQUIRED
86958146U,9 7/8'' Round Showerhead - Polished Nickel PVD,9 7/8'' Round Showerhead - Polished Nickel PVD,PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
86958147U,Icona Classic Wall Mount Adjustable Showerhead - Polished Nickel PVD,Icona Classic Wall Mount Adjustable Showerhead - Polished Nickel PVD,PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
86959236U,"10"" Ceiling Mount Shower Arm - Polished Nickel PVD","10"" Ceiling Mount Shower Arm - Polished Nickel PVD",PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
86P68136UC,"Icona Classic 8'' Round Showerhead, Restricted To 1.8 Gpm - Matte British Gold PVD","Icona Classic 8'' Round Showerhead, Restricted To 1.8 Gpm - Matte British Gold PVD",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE APPLIANCES=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
873111-GL-2.5,"Brizo Roccesco Multi Function Sconce Wall Mount Shower Head With Jointed Shower Arm and Flange, 2.5 GPM - Luxe Gold","Brizo Roccesco Multi Function Sconce Wall Mount Shower Head With Jointed Shower Arm and Flange, 2.5 GPM - Luxe Gold",PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,BA0000677 Mountain West Marketing,BA0000677,Mountain West Marketing,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000677.,,FOUND,READY
87435-GL-2.5,"Litze 8” H2OKinetic Round Multi Function Wall Mount Showerhead, 2.5 GPM - Luxe Gold","Litze 8” H2OKinetic Round Multi Function Wall Mount Showerhead, 2.5 GPM - Luxe Gold",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
87465-PN,Brizo Beauclere H2Okinetic Multi Function Shower Head - Polished Nickel,Brizo Beauclere H2Okinetic Multi Function Shower Head - Polished Nickel,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,BA0000714 Delta Faucet Company,BA0000714,Delta Faucet Company,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000714.,,FOUND,READY
8795R700BU,Icona Classic 3/4'' Thermostatic Shower Mixer Without Volume Control - Polished Nickel PVD,Icona Classic 3/4'' Thermostatic Shower Mixer Without Volume Control - Polished Nickel PVD,PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
87-9-PN,"Capitola 9"" Hand Towel Bar - Polished Nickel","Capitola 9"" Hand Towel Bar - Polished Nickel",PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
87P6R700BU,Icona Classic 3/4'' Thermostatic Shower Mixer Without Volume Control - Matte British Gold PVD,Icona Classic 3/4'' Thermostatic Shower Mixer Without Volume Control - Matte British Gold PVD,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE APPLIANCES=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
87-RH-PN,Capitola Robe Hook - Polished Nickel,Capitola Robe Hook - Polished Nickel,PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
87-STP-PN,Capitola Single Post Toilet Paper Holder - Polished Nickel,Capitola Single Post Toilet Paper Holder - Polished Nickel,PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
88765-PG,Beauclere Multi Function Slide Bar Hand Shower - Polished Gold,Beauclere Multi Function Slide Bar Hand Shower - Polished Gold,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,BA0000714 Delta Faucet Company,BA0000714,Delta Faucet Company,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000714.,,FOUND,READY
88765-PN,Brizo Beauclere Multi Function Slide Bar Hand Shower - Polished Nickel,Brizo Beauclere Multi Function Slide Bar Hand Shower - Polished Nickel,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,BA0000714 Delta Faucet Company,BA0000714,Delta Faucet Company,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000714.,,FOUND,READY
8881-TSQ632-LBL,Jaclo Uptown Contempo Faucet With Square Escutcheons And Low Lever Handles - Light Blue,Jaclo Uptown Contempo Faucet With Square Escutcheons And Low Lever Handles - Light Blue,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,BA0000733 Jaclo,BA0000733,Jaclo,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000733.,,FOUND,READY
88867-BL,Brizo Allaria Multi Function Wall Mount Handshower - Matte Black,Brizo Allaria Multi Function Wall Mount Handshower - Matte Black,PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=2,SKIP_QTY_ON_HAND,BA0000714 Delta Faucet Company,BA0000714,Delta Faucet Company,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000714.,,FOUND,SKIP_QTY_ON_HAND
88867-NK,Allaria Multi function Wall Mount Handshower - Luxe Nickel,Allaria Multi function Wall Mount Handshower - Luxe Nickel,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE HARDWARE=0,ELIGIBLE,,BA0000714,Delta Faucet Company,MEDIUM,brand-token ALLARIA suggests BA0000714 in 9/9 existing vendor-populated StockItems; manual review required.,,FOUND,VENDOR_REVIEW_REQUIRED
890-1250-15S,"Astor 24"" Towel Bar - Satin Nickel","Astor 24"" Towel Bar - Satin Nickel",PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
890-1410-15S,Astor Towel Ring - Satin Nickel,Astor Towel Ring - Satin Nickel,PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
890-1510-03N,Astor Hanging Toilet Tissue Holder - Uncoated Polished Brass,Astor Hanging Toilet Tissue Holder - Uncoated Polished Brass,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE APPLIANCES=0; SALT LAKE PLUMBING=0,ELIGIBLE,BA0000714 Delta Faucet Company,BA0000714,Delta Faucet Company,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000714.,,FOUND,READY
890-1510-15S,Astor Hanging Toilet Tissue Holder - Satin Nickel,Astor Hanging Toilet Tissue Holder - Satin Nickel,PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
890-1660-03N,Astor Double Robe Hook - Uncoated Polished Brass,Astor Double Robe Hook - Uncoated Polished Brass,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE APPLIANCES=0; SALT LAKE PLUMBING=0,ELIGIBLE,BA0000714 Delta Faucet Company,BA0000714,Delta Faucet Company,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000714.,,FOUND,READY
890-1660-15S,Astor Double Robe Hook - Satin Nickel,Astor Double Robe Hook - Satin Nickel,PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
899110-12-GL,"Brizo Roccesco 12"" Ceiling Mount Shower Arm And Flange - Brilliance Luxe Gold","Brizo Roccesco 12"" Ceiling Mount Shower Arm And Flange - Brilliance Luxe Gold",PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,BA0000677 Mountain West Marketing,BA0000677,Mountain West Marketing,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000677.,,FOUND,READY
899110-6-GL,"Brizo Roccesco 6"" Ceiling Mount Shower Arm and Flange - Brilliance Black Onyx","Brizo Roccesco 6"" Ceiling Mount Shower Arm and Flange - Brilliance Black Onyx",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE APPLIANCES=0; SALT LAKE PLUMBING=1,SKIP_QTY_ON_HAND,BA0000714 Delta Faucet Company,BA0000714,Delta Faucet Company,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000714.,,FOUND,SKIP_QTY_ON_HAND
901-1/047,Phylrich Grid Drain - Antique Brass,Phylrich Grid Drain - Antique Brass,PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=2,SKIP_QTY_ON_HAND,BA0016237 Phylrich,BA0016237,Phylrich,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0016237.,,FOUND,SKIP_QTY_ON_HAND
90958938U,Icona Classic Icona Handshower - Polished Nickel PVD,Icona Classic Icona Handshower - Polished Nickel PVD,PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
9100W213U,Fantini Aboutwater Easy Fix System,Fantini Aboutwater Easy Fix System,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,"BA0010852 Fantini USA, Inc",BA0010852,"Fantini USA, Inc",HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0010852.,,FOUND,READY
9112-C2-SB,"California Faucets Doheny 12"" Wall Shower Arm, Octagon Base - Satin Brass","California Faucets Doheny 12"" Wall Shower Arm, Octagon Base - Satin Brass",PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,BA0000006 California Faucets,BA0000006,California Faucets,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000006.,,FOUND,READY
9113-C1-BTB,"California FaucetsTrousdale 20"" Wall Shower Arm, Round Base - Bella Terra Bronze","California FaucetsTrousdale 20"" Wall Shower Arm, Round Base - Bella Terra Bronze",PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=5,SKIP_QTY_ON_HAND,BA0000006 California Faucets,BA0000006,California Faucets,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000006.,,FOUND,SKIP_QTY_ON_HAND
9113-CZ-DST,Essa Single Handle Pull Down Kitchen Faucet - Champagne Bronze,Essa Single Handle Pull Down Kitchen Faucet - Champagne Bronze,PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,BA0000677 Mountain West Marketing,BA0000677,Mountain West Marketing,HIGH,Current StockItem VendorDetails contains 2 vendor row(s); selected first active VendorID BA0000677.,,FOUND,READY
9116-65-6-CB,"6"" Ceiling Shower Arm, Round Base - Carbon","6"" Ceiling Shower Arm, Round Base - Carbon",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,,BA0000006,California Faucets,HIGH,prefix 9116 maps to BA0000006 in 38/38 existing vendor-populated StockItems.,,FOUND,READY
9116-65-6-SBZ,"6"" Ceiling Shower Arm, Round Base - Satin Bronze","6"" Ceiling Shower Arm, Round Base - Satin Bronze",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,,BA0000006,California Faucets,HIGH,prefix 9116 maps to BA0000006 in 38/38 existing vendor-populated StockItems.,,FOUND,READY
9116-77-6-SB,"Cal Faucets 6"" Ceiling Shower Arm, Square Base - Satin Brass","Cal Faucets 6"" Ceiling Shower Arm, Square Base - Satin Brass",PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=1,SKIP_QTY_ON_HAND,BA0000006 California Faucets,BA0000006,California Faucets,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected default active VendorID BA0000006.,,FOUND,SKIP_QTY_ON_HAND
9125-45-PN,"Wall Mounted Handshower Kit, Concave - Polished Nickel","Wall Mounted Handshower Kit, Concave - Polished Nickel",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE APPLIANCES=0; SALT LAKE PLUMBING=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
9125-45-SBZ,"Wall Mounted Handshower Kit, Concave - Satin Bronze","Wall Mounted Handshower Kit, Concave - Satin Bronze",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE APPLIANCES=0; SALT LAKE PLUMBING=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
9125-C2-SB,"California Faucets Wall Mounted Handshower Kit, Octagonal - Satin Brass","California Faucets Wall Mounted Handshower Kit, Octagonal - Satin Brass",PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,BA0000006 California Faucets,BA0000006,California Faucets,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000006.,,FOUND,READY
9126-45-ORB,"Rincon Bay Wall Mounted Handshower Kit, Concave Base - Oil Rubbed Bronze","Rincon Bay Wall Mounted Handshower Kit, Concave Base - Oil Rubbed Bronze",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,BA0000006 California Faucets,BA0000006,California Faucets,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000006.,,FOUND,READY
9126-45-SBZ,"Rincon Bay Wall Mounted Handshower Kit, Concave Base - Satin Bronze","Rincon Bay Wall Mounted Handshower Kit, Concave Base - Satin Bronze",PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,BA0000006,California Faucets,HIGH,prefix 9126 maps to BA0000006 in 44/44 existing vendor-populated StockItems.,,FOUND,READY
9126-65-BNU,"Tiburon Wall Mounted Handshower Kit, Round Base - Burnished Nickel","Tiburon Wall Mounted Handshower Kit, Round Base - Burnished Nickel",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,,BA0000006,California Faucets,HIGH,prefix 9126 maps to BA0000006 in 44/44 existing vendor-populated StockItems.,,FOUND,READY
9126-87-ABF,Capitola Wall Mounted Handshower Kit - Antique Brass Flat,Capitola Wall Mounted Handshower Kit - Antique Brass Flat,PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,BA0000006,California Faucets,HIGH,prefix 9126 maps to BA0000006 in 44/44 existing vendor-populated StockItems.,,FOUND,READY
9126S-65-BLKN,"Tiburon Swivel Wall Mounted Handshower Kit, Round - Black Nickel","Tiburon Swivel Wall Mounted Handshower Kit, Round - Black Nickel",PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,BA0000006,California Faucets,HIGH,prefix 9126 maps to BA0000006 in 44/44 existing vendor-populated StockItems.,,FOUND,READY
9126S-65-BNU,"Tiburon Swivel Wall Mounted Handshower Kit, Round - Burnished Nickel","Tiburon Swivel Wall Mounted Handshower Kit, Round - Burnished Nickel",PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,BA0000006,California Faucets,HIGH,prefix 9126 maps to BA0000006 in 44/44 existing vendor-populated StockItems.,,FOUND,READY
9126S-65-BTB,"Tiburon Swivel Wall Mounted Handshower Kit, Round - Bella Terra Bronze","Tiburon Swivel Wall Mounted Handshower Kit, Round - Bella Terra Bronze",PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,BA0000006,California Faucets,HIGH,prefix 9126 maps to BA0000006 in 44/44 existing vendor-populated StockItems.,,FOUND,READY
9127-30K-CB,"Descanso Slide Bar Handshower Kit, Knurled Lever Handle with Concave Base - Carbon","Descanso Slide Bar Handshower Kit, Knurled Lever Handle with Concave Base - Carbon",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,,BA0000006,California Faucets,HIGH,prefix 9127 maps to BA0000006 in 58/58 existing vendor-populated StockItems.,,FOUND,READY
9127-30K-PC,"Descanso Slide Bar Handshower Kit, Knurled Lever Handle with Concave Base - Polished Chrome","Descanso Slide Bar Handshower Kit, Knurled Lever Handle with Concave Base - Polished Chrome",PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,BA0000006,California Faucets,HIGH,prefix 9127 maps to BA0000006 in 58/58 existing vendor-populated StockItems.,,FOUND,READY
9127-65-SN,"Slide Bar Handshower Kit, Cross Handle with Round Base - Satin Nickel","Slide Bar Handshower Kit, Cross Handle with Round Base - Satin Nickel",PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,BA0000006,California Faucets,HIGH,prefix 9127 maps to BA0000006 in 58/58 existing vendor-populated StockItems.,,FOUND,READY
9127-74-ABF,"Slide Bar Handshower Kit, Lever Handle with Round Base - Antique Brass Flat","Slide Bar Handshower Kit, Lever Handle with Round Base - Antique Brass Flat",PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,BA0000006 California Faucets,BA0000006,California Faucets,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000006.,,FOUND,READY
9127-80-SBZ,"Slide Bar Handshower Kit, Lever Handle with Concave Base - Satin Bronze","Slide Bar Handshower Kit, Lever Handle with Concave Base - Satin Bronze",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,,BA0000006,California Faucets,HIGH,prefix 9127 maps to BA0000006 in 58/58 existing vendor-populated StockItems.,,FOUND,READY
9127-80WR-SN,"Slide Bar Handshower Kit, Red Wheel Handle with Concave Base - Satin Nickel","Slide Bar Handshower Kit, Red Wheel Handle with Concave Base - Satin Nickel",PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,BA0000006,California Faucets,HIGH,prefix 9127 maps to BA0000006 in 58/58 existing vendor-populated StockItems.,,FOUND,READY
9127-GB24-41-GRP,"Cayucos 24"" Grab Bar Handshower Kit, Lever Handle with Line Base - Graphite","Cayucos 24"" Grab Bar Handshower Kit, Lever Handle with Line Base - Graphite",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,,BA0000006,California Faucets,HIGH,prefix 9127 maps to BA0000006 in 58/58 existing vendor-populated StockItems.,,FOUND,READY
91959417U,Milano Wall Mount Water Outlet Square Escutcheon - Polished Nickel PVD,Milano Wall Mount Water Outlet Square Escutcheon - Polished Nickel PVD,PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
91Q77034U,Fantini Milano Wall Mount Water Outlet Round Escutcheon - Pure Brass PVD,Fantini Milano Wall Mount Water Outlet Round Escutcheon - Pure Brass PVD,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE APPLIANCES=0; SALT LAKE PLUMBING=1; JACKSON WAREHOUSE=0,SKIP_QTY_ON_HAND,"BA0010852 Fantini USA, Inc",BA0010852,"Fantini USA, Inc",HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0010852.,,FOUND,SKIP_QTY_ON_HAND
9224-LBL,"Jaclo 27 1/2"" Contemporary Wall Bar - Light Blue","Jaclo 27 1/2"" Contemporary Wall Bar - Light Blue",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=1,SKIP_QTY_ON_HAND,BA0000733 Jaclo,BA0000733,Jaclo,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000733.,,FOUND,SKIP_QTY_ON_HAND
93P6H806,Icona 12'' Towel Bar - Matte British Gold PVD,Icona 12'' Towel Bar - Matte British Gold PVD,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE APPLIANCES=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
93P6H807,Icona 24'' Towel Bar - Matte British Gold PVD,Icona 24'' Towel Bar - Matte British Gold PVD,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE APPLIANCES=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
93P6H808,Icona Wall Mount Hook - Matte British Gold PVD,Icona Wall Mount Hook - Matte British Gold PVD,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE APPLIANCES=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
93P6H845,Icona Toilet Paper Holder - Matte British Gold PVD,Icona Toilet Paper Holder - Matte British Gold PVD,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE APPLIANCES=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
9458-SG,Toilet Tank Trip Lever to Fit TOTO - Satin Gold,Toilet Tank Trip Lever to Fit TOTO - Satin Gold,PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
9485-10B,"Newport Brass East Linear Pot Filler, Wall Mount - Oil Rubbed Bronze","Newport Brass East Linear Pot Filler, Wall Mount - Oil Rubbed Bronze",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,BA0000714 Delta Faucet Company,BA0000714,Delta Faucet Company,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000714.,,FOUND,READY
9620-K55-TG-SBZ,California Faucets La Spezia Cold Water Dispenser - Satin Bronze,California Faucets La Spezia Cold Water Dispenser - Satin Bronze,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE APPLIANCES=0; SALT LAKE PLUMBING=0,ELIGIBLE,BA0000006 California Faucets,BA0000006,California Faucets,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000006.,,FOUND,READY
973-009D,Pfister Shower Arm - Polished Nickel,Pfister Shower Arm - Polished Nickel,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE APPLIANCES=0; SALT LAKE PLUMBING=0,ELIGIBLE,BA0000676 The Lovell Company,BA0000676,The Lovell Company,HIGH,Current StockItem VendorDetails contains 2 vendor row(s); selected first active VendorID BA0000676.,,FOUND,READY
990LS-10B,East Linear Widespread Lavatory Faucet - Oil Rubbed Bronze,East Linear Widespread Lavatory Faucet - Oil Rubbed Bronze,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,BA0000714 Delta Faucet Company,BA0000714,Delta Faucet Company,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000714.,,FOUND,READY
