Token,Regex,Source,Classification,CandidateVendorID,CandidateVendorName,MatchingReviewItems,EvidenceVendorCounts,ActiveVendorAliasCandidates,SampleInventoryIDs,Reason
CITY,\bCITY\b,active-vendor-alias,AMBIGUOUS,BA0000686,Schaub & Company,6,BA0000686:Schaub & Company:2,BA0000039:City of Ketchum; BA0000165:City of South Salt Lake,T2020-A-2CTL-CTB; T20KA790-A-CTB; V702-TLK-CTB; V770A-KITK-CTB; V786-A-CTB; V7KALL17S-3LK-CTB,Token CITY has multiple plausible vendors from active vendor aliases.
GLASS,\bGLASS\b,description-token,AMBIGUOUS,BA0000760,Watermark,6,"BA0000760:Watermark:20; BA0000008:Waterworks Operating Co., LLC:17; BA0000670:Kartners Bathroom Accessories:10; BA0000784:Miele:9; BA0000753:Atmos Project LLC DBA Mr. Steam:5; BA0000686:Schaub & Company:4",,FBUI5242G; PDPUG524SS; TXI680WPECO&STEAM; 25-0.1-18DDP-GM; LD45G2-N; LD65G2-N,Token GLASS has multiple plausible vendors from existing StockItem evidence.
HIGH,\bHIGH\b,active-vendor-alias,AMBIGUOUS,BA0000008,"Waterworks Operating Co., LLC",6,"BA0000008:Waterworks Operating Co., LLC:10; BA0000717:Duravit:7; BA0000780:Luwa Distributing:1",BA0000286:HIGH MARK MECHANICAL; BA0012991:High Country Linen,31-7.3PG2-BKA1-APB; CEKM10-18BOK; JUKM09-18B; K50-100-FB-ANF; K51-100SQ-ST-SBZ; K55-100SQ-TG-USS,Token HIGH has multiple plausible vendors from existing StockItem evidence.
MCGEE,\bMCGEE\b,description-token,AMBIGUOUS,BA0000749,Standard Plumbing Supply,6,BA0000749:Standard Plumbing Supply:25; BA0003290:Hajoca Corporation:6; BA0011918:Keller Supply Company:5; BA0000750:The Stock Market:1,,K-35908-4K-SN; K-35926-BN; K-35927-BN; K-35929-BN; K-T35909-3-BN; K-TS35916-4Y-SN,Token MCGEE has multiple plausible vendors from existing StockItem evidence.
POST,\bPOST\b,description-token,AMBIGUOUS,BA0000006,California Faucets,6,"BA0000006:California Faucets:22; BA0000011:Emtek Products Group, LLC:20; BA0016237:Phylrich:16; BA0000670:Kartners Bathroom Accessories:5; BA0000650:Colonial Bronze:3; BA0000743:Newport/Brasstech:1",,3230-1530-03N; 3230-1530-24A; 37-STP-PC; 52-STP-ANF; 87-STP-PN; DB55/040,Token POST has multiple plausible vendors from existing StockItem evidence.
SLIDE,\bSLIDE\b,description-token,AMBIGUOUS,BA0000007,"Rohl, LLC",6,"BA0000007:Rohl, LLC:14; BA0000743:Newport/Brasstech:12; BA0000673:Leatherneck Hardware, Inc.:7; BA0000714:Delta Faucet Company:7; BA0000715:Dornbracht GmbH & Co. KG:2; BA0000643:Baldwin Hardware:1",,2050; 280F-24A; 4664BK-WS; 86958145; G-8660-BOX; KT13-77.25-BLKN,Token SLIDE has multiple plausible vendors from existing StockItem evidence.
SOLID,\bSOLID\b,active-vendor-alias,AMBIGUOUS,BA0000011,"Emtek Products Group, LLC",6,"BA0000011:Emtek Products Group, LLC:20; BA0000002:Roth Living:15; BA0000653:Deltana Enterprises, Inc.:10; BA0000686:Schaub & Company:10; BA0000785:MILESTONE DISTRIBUTORS:5; BA0000670:Kartners Bathroom Accessories:4",BA0004837:Solid Waste Management,HA15CU-W; HP15CU-W; MACP215-SS01B; TUR24RSSC; TUB04-G; TUB22-M,Token SOLID has multiple plausible vendors from existing StockItem evidence.
STUDIO,\bSTUDIO\b,active-vendor-alias,AMBIGUOUS,BA0000749,Standard Plumbing Supply,6,"BA0000749:Standard Plumbing Supply:24; BA0010334:Nest Studio LLC:23; BA0003290:Hajoca Corporation:6; BA0000008:Waterworks Operating Co., LLC:5; BA0000779:LG Electronics U.S.A., Inc.:5; BA0011918:Keller Supply Company:5",BA0000752:Studio IL Bagno,K-35908-4K-SN; K-35926-BN; K-35927-BN; K-35929-BN; K-T35909-3-BN; K-TS35916-4Y-SN,Token STUDIO has multiple plausible vendors from existing StockItem evidence.
STUDIO MCGEE,\bSTUDIO[\\s-]+MCGEE\b,description-token,AMBIGUOUS,BA0000749,Standard Plumbing Supply,6,BA0000749:Standard Plumbing Supply:25; BA0003290:Hajoca Corporation:6; BA0011918:Keller Supply Company:5; BA0000750:The Stock Market:1,,K-35908-4K-SN; K-35926-BN; K-35927-BN; K-35929-BN; K-T35909-3-BN; K-TS35916-4Y-SN,Token STUDIO MCGEE has multiple plausible vendors from existing StockItem evidence.
TANK,\bTANK\b,description-token,AMBIGUOUS,BA0000733,Jaclo,6,"BA0000733:Jaclo:23; BA0000714:Delta Faucet Company:15; BA0000743:Newport/Brasstech:7; BA0000759:Waterstone, LLC:3; BA0005336:EVO America:2; BA0000725:Geberit:2",,9458-SG; CWT4264726CMFG#MS; CWT4474547CMFGA#MBL; GKIT7545LMULB-2; K-44468-0; ST472EA#12,Token TANK has multiple plausible vendors from existing StockItem evidence.
WORKSTATION,\bWORKSTATION\b,description-token,AMBIGUOUS,BA0000724,The Galley,6,"BA0000724:The Galley:29; BA0000749:Standard Plumbing Supply:7; BA0000007:Rohl, LLC:6; BA0008642:BOCCHI - Sanikey USA Inc.:4; BA0015236:Blanco America Inc.:4; BA0000714:Delta Faucet Company:4",,CPKG272; HSU3219SBGG; IWW-4-D-GT; K-23651-NA; K-37907-PAP-NA; KWU110-32,Token WORKSTATION has multiple plausible vendors from existing StockItem evidence.
LUDLOW,\bLUDLOW\b,description-token,BUSINESS_RULE_APPROVAL,BA0000008,"Waterworks Operating Co., LLC",6,"BA0000008:Waterworks Operating Co., LLC:56",,09-05246-85637; LD45G2-N; LD65G2-N; LDTH32-B; LDTH32-N; LDTS80-N,"Existing vendor-populated StockItems consistently map LUDLOW to BA0000008 in 56/56, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
SIZABLE,\bSIZABLE\b,description-token,BUSINESS_RULE_APPROVAL,BA0000731,Infinity Drain,6,BA0000731:Infinity Drain:29,,SLGR6596SB; SLTIF6536GM; SLTIF6548SS; S-SLOTAS60SS; STCH38; STOTGM,"Existing vendor-populated StockItems consistently map SIZABLE to BA0000731 in 29/29, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
TERRA,\bTERRA\b,description-token,BUSINESS_RULE_APPROVAL,BA0000006,California Faucets,6,BA0000006:California Faucets:67,,4502A-BTB; G-6710-C17B-BOX; G-6710N-C17B-BOX; G-8047-C17E0-BOX-T; S50X113FR-BOX-T; TO-52-W-BTB,"Existing vendor-populated StockItems consistently map TERRA to BA0000006 in 67/67, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
4176,^4176,inventory-prefix,NO_MATCH,,,6,,,41762000; 41762820; 41764000; 41764820; 41767000; 41767820,No active vendor alias or consistent existing StockItem vendor evidence matched 4176.
FORME,\bFORME\b,description-token,NO_MATCH,,,6,BA0013229:Earth Elements LLC:2,,T2002-TCBA-OBM; T2020-A-2CTL-CTB; T2020-AIS-XX; T2070A-KIT-OBM; T20KA17-2CBA-OBM; T20KA790-A-CTB,No active vendor alias or consistent existing StockItem vendor evidence matched FORME.
TOPB,^TOPB,inventory-prefix,NO_MATCH,,,6,,,TO-PB2L-E3-ANF; TO-PBL-30T-ABF; TO-PBL-37-ANF; TO-PBL-41-GRP; TO-PBL-41-SBZ; TO-PBL-53-ANF,No active vendor alias or consistent existing StockItem vendor evidence matched TOPB.
TOTH2,^TOTH2,inventory-prefix,NO_MATCH,,,6,,,TO-TH2L-39H-BBU; TO-TH2L-39H-GRP; TO-TH2L-52K-CB; TO-TH2L-53K-ANF; TO-TH2L-80-SBZ; TO-TH2L-80WR-SN,No active vendor alias or consistent existing StockItem vendor evidence matched TOTH2.
0104,^0104,inventory-prefix,AMBIGUOUS,BA0014832,Zip Water,5,"BA0014832:Zip Water:3; BA0000008:Waterworks Operating Co., LLC:1",,01041881; 01043466; 01046202; 01046205; 01048498,Token 0104 has multiple plausible vendors from existing StockItem evidence.
1200,^1200,inventory-prefix,AMBIGUOUS,BA0000743,Newport/Brasstech,5,"BA0000743:Newport/Brasstech:8; BA0000759:Waterstone, LLC:7; BA0000649:Classic Brass:5; BA0000714:Delta Faucet Company:3; BA0000686:Schaub & Company:3; BA0000670:Kartners Bathroom Accessories:1",,1200-5103-10; 1200-5103-15; 1200-5503-15; 1200-5623-15; 1200E4000,Token 1200 has multiple plausible vendors from existing StockItem evidence.
BRIDGE,\bBRIDGE\b,description-token,AMBIGUOUS,BA0000714,Delta Faucet Company,5,"BA0000714:Delta Faucet Company:16; BA0000008:Waterworks Operating Co., LLC:13; BA0000743:Newport/Brasstech:8; BA0000760:Watermark:8; BA0000715:Dornbracht GmbH & Co. KG:1; BA0000759:Waterstone, LLC:1",,621249LF-ULBLHP; EAKM33-18BWH; HLR048-ULB; K-7548-4-VS; U.SB58D3LMEB,Token BRIDGE has multiple plausible vendors from existing StockItem evidence.
BUILT,\bBUILT\b,description-token,AMBIGUOUS,BA0000760,Watermark,5,"BA0000760:Watermark:32; BA0000784:Miele:21; BA0000004:Tri-State Distributors, INC.:7; BA0000002:Roth Living:6; BA0001129:GESSI North America:4; BA0016237:Phylrich:4",,HBN536212SS; L701R-NG; RAC00CPAAAA/DA; 31-T20-BK-UPB; T39EL/4AP-19,Token BUILT has multiple plausible vendors from existing StockItem evidence.
CLOSE,\bCLOSE\b,description-token,AMBIGUOUS,BA0016237,Phylrich,5,"BA0016237:Phylrich:14; BA0000663:Hafele:9; BA0000717:Duravit:6; BA0000008:Waterworks Operating Co., LLC:6; BA0000673:Leatherneck Hardware, Inc.:1; BA0000682:Richelieu Hardware LTD:1",,1200E4000; 3-517/015; 3-517/047; 3-545/047; CPVMRTF-BA,Token CLOSE has multiple plausible vendors from existing StockItem evidence.
CONCRETE,\bCONCRETE\b,description-token,AMBIGUOUS,BA0000736,Lacava LLC,5,BA0000736:Lacava LLC:15; BA0000741:Native Trails:4; BA0000738:Link A Sink:3; BA0011918:Keller Supply Company:1; BA0000717:Duravit:1; BA0000677:Mountain West Marketing:1,,CT2214-00-GAL; CT2214-00-SLT; CT2214-03-CHL; CT36T-01-FOR; FD.C4-ASH,Token CONCRETE has multiple plausible vendors from existing StockItem evidence.
GRAB,\bGRAB\b,description-token,AMBIGUOUS,BA0000714,Delta Faucet Company,5,"BA0000714:Delta Faucet Company:18; BA0000670:Kartners Bathroom Accessories:12; BA0000743:Newport/Brasstech:10; BA0000733:Jaclo:5; BA0000008:Waterworks Operating Co., LLC:4; BA0003290:Hajoca Corporation:3",,EGB218-N; G-9516-BOX; G-9524-BOX; G-9532-BOX; G-9544-BOX,Token GRAB has multiple plausible vendors from existing StockItem evidence.
MEDIUM,\bMEDIUM\b,description-token,AMBIGUOUS,BA0000011,"Emtek Products Group, LLC",5,"BA0000011:Emtek Products Group, LLC:60; BA0000712:Forte Brands, LLC:6; BA0000009:Rocky Mountain Hardware, Inc.:4; BA0000006:California Faucets:4; BA0000641:Ashley Norton Inc.:2; BA0000643:Baldwin Hardware:1",,WM.CL.880.20; WM.CL.880.30; WM.CVTUB.880.50; 443146; V7KA15LL-ANT,Token MEDIUM has multiple plausible vendors from existing StockItem evidence.
OPEN,\bOPEN\b,description-token,AMBIGUOUS,BA0000743,Newport/Brasstech,5,"BA0000743:Newport/Brasstech:26; BA0000714:Delta Faucet Company:9; BA0000005:Hansgrohe:4; BA0010852:Fantini USA, Inc:4; BA0000663:Hafele:3; BA0000008:Waterworks Operating Co., LLC:2",,GW483720; 2540-1570-52; 2540-1570-56; 3230-1510-26; GUVC17-UF,Token OPEN has multiple plausible vendors from existing StockItem evidence.
OVAL,\bOVAL\b,description-token,AMBIGUOUS,BA0000649,Classic Brass,5,"BA0000649:Classic Brass:31; BA0000008:Waterworks Operating Co., LLC:23; BA0000011:Emtek Products Group, LLC:10; BA0000682:Richelieu Hardware LTD:7; BA0000686:Schaub & Company:4; BA0004629:Armac Martin:2",,B016AB; BCH3OF00T-01; CBBT01-WHI; CYLV12-WHIO; SNBT67-WHI,Token OVAL has multiple plausible vendors from existing StockItem evidence.
PFISTER TISBURY,\bPFISTER[\\s-]+TISBURY\b,description-token,AMBIGUOUS,BA0015641,Pfister,5,BA0015641:Pfister:6; BA0000676:The Lovell Company:1,,BRH-TB0D; LG15-TB0D; LG49-TB0TLD; R89-1TB0SLD; R89-STB0D,Token PFISTER TISBURY has multiple plausible vendors from existing StockItem evidence.
RAIL,\bRAIL\b,description-token,AMBIGUOUS,BA0001129,GESSI North America,5,"BA0001129:GESSI North America:22; BA0000008:Waterworks Operating Co., LLC:8; BA0000712:Forte Brands, LLC:5; BA0000670:Kartners Bathroom Accessories:3; BA0000010:Top Knobs:2; BA0000650:Colonial Bronze:1",,66504#149; N7767K-URM; T2070A-KIT-OBM; V770A-KITK-ANT; V770A-KITK-CTB,Token RAIL has multiple plausible vendors from existing StockItem evidence.
STANDING,\bSTANDING\b,description-token,AMBIGUOUS,BA0000711,Cheviot Products Inc.,5,"BA0000711:Cheviot Products Inc.:8; BA0000760:Watermark:6; BA0000743:Newport/Brasstech:4; BA0015641:Pfister:2; BA0000714:Delta Faucet Company:2; BA0000008:Waterworks Operating Co., LLC:1",,1400-4261-24A; 25-8.8-IN16-AB; FSB6533-MW; TUB04-G; TUB22-M,Token STANDING has multiple plausible vendors from existing StockItem evidence.
SUPPLY,\bSUPPLY\b,active-vendor-alias,AMBIGUOUS,BA0000733,Jaclo,5,"BA0000733:Jaclo:19; BA0000008:Waterworks Operating Co., LLC:15; BA0000743:Newport/Brasstech:12; BA0000714:Delta Faucet Company:4; BA0000804:Arrow Industries:3; BA0000711:Cheviot Products Inc.:2",BA0000194:D&B Supply,493X-03N; 493X-15; K-35851-NA; K-98354-2MB; P21652-00-BN,Token SUPPLY has multiple plausible vendors from existing StockItem evidence.
TISBURY,\bTISBURY\b,description-token,AMBIGUOUS,BA0015641,Pfister,5,BA0015641:Pfister:6; BA0000676:The Lovell Company:1,,BRH-TB0D; LG15-TB0D; LG49-TB0TLD; R89-1TB0SLD; R89-STB0D,Token TISBURY has multiple plausible vendors from existing StockItem evidence.
TRIP,\bTRIP\b,description-token,AMBIGUOUS,BA0000733,Jaclo,5,BA0000733:Jaclo:23; BA0000714:Delta Faucet Company:2; BA0000006:California Faucets:1,,738903-2950A; 9458-SG; K-21710-R-BN; K-9379-2MB; THU886#01-A,Token TRIP has multiple plausible vendors from existing StockItem evidence.
URBANE,\bURBANE\b,description-token,AMBIGUOUS,BA0000760,Watermark,5,"BA0000760:Watermark:17; BA0006514:Belwith Products, LLC:2",,25-0.1-18DDP-GM; 25-7.8-IN14-AB; 25-8.8-IN16-AB; 25-9.3P1-IN14-SN; 25-9.5GHC-AB,Token URBANE has multiple plausible vendors from existing StockItem evidence.
V7KA,^V7KA,inventory-prefix,AMBIGUOUS,BA0011918,Keller Supply Company,5,BA0011918:Keller Supply Company:9; BA0013229:Earth Elements LLC:3,,V7KA15LL-ANT; V7KA20S-2LK-RH-ANT; V7KA620-A-BG; V7KALL17-3LL-BG; V7KALL17S-3LK-CTB,Token V7KA has multiple plausible vendors from existing StockItem evidence.
BOND,\bBOND\b,description-token,BUSINESS_RULE_APPROVAL,BA0000008,"Waterworks Operating Co., LLC",5,"BA0000008:Waterworks Operating Co., LLC:53",,B3T14B-NDN; BNWL06-DN; BTB010-VTB; BTS001-N; BVC14A-N,"Existing vendor-populated StockItems consistently map BOND to BA0000008 in 53/53, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
OPERA,\bOPERA\b,description-token,BUSINESS_RULE_APPROVAL,BA0013051,"Westover, Inc.",5,"BA0013051:Westover, Inc.:19",,FS410BK; FS410SB; FS428BK; PS120BK; PS120NSB,"Existing vendor-populated StockItems consistently map OPERA to BA0013051 in 19/19, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
RAINEY,\bRAINEY\b,description-token,BUSINESS_RULE_APPROVAL,BA0000760,Watermark,5,BA0000760:Watermark:63,,70-0.1-GM; 70-7.1.3PG2-RNK8V-GM; 70-7.1.3PG2-RNS4V-GM; 70-9.3PG2-RNS4-GM; 70-P80-RNK8-GM,"Existing vendor-populated StockItems consistently map RAINEY to BA0000760 in 63/63, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
TIBURON,\bTIBURON\b,description-token,BUSINESS_RULE_APPROVAL,BA0000006,California Faucets,5,BA0000006:California Faucets:89,,65.62.20-SN; 6508-SN; SD-DHK-65-BBU; SD-DHK-65-GRP; SH-061-65.25-ANF,"Existing vendor-populated StockItems consistently map TIBURON to BA0000006 in 89/89, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
VITROLINE,\bVITROLINE\b,description-token,BUSINESS_RULE_APPROVAL,BA0000784,Miele,5,BA0000784:Miele:34,,DGC7880CTS; H7880BPCTS; DGC7860AMGRG; DGC7880GRG; H7280BPGRG,"Existing vendor-populated StockItems consistently map VITROLINE to BA0000784 in 34/34, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
TOPBL,^TOPBL,inventory-prefix,NO_MATCH,,,5,,,TO-PBL-30T-ABF; TO-PBL-37-ANF; TO-PBL-41-GRP; TO-PBL-41-SBZ; TO-PBL-53-ANF,No active vendor alias or consistent existing StockItem vendor evidence matched TOPBL.
TOV,^TOV,inventory-prefix,NO_MATCH,,,5,,,TO-V3902H-9-GRP; TO-V5201-7-SBZ; TO-V5202-9-ANF; TO-V5302-9-ANF; TO-V5302K-9-ANF,No active vendor alias or consistent existing StockItem vendor evidence matched TOV.
3230,^3230,inventory-prefix,AMBIGUOUS,BA0000743,Newport/Brasstech,4,BA0000743:Newport/Brasstech:20; BA0000714:Delta Faucet Company:18,,3230-1410-26; 3230-1510-26; 3230-1530-03N; 3230-1530-24A,Token 3230 has multiple plausible vendors from existing StockItem evidence.
BASIN,\bBASIN\b,description-token,AMBIGUOUS,BA0000712,"Forte Brands, LLC",4,"BA0000712:Forte Brands, LLC:16; BA0000715:Dornbracht GmbH & Co. KG:14; BA0000708:Barclay Products:4; BA0000717:Duravit:2; BA0010096:Alore Design Inc.:2; BA0000734:Julien:1",,FD.C4-ASH; V7KA15LL-ANT; V7KA20S-2LK-RH-ANT; V7KALL17S-3LK-CTB,Token BASIN has multiple plausible vendors from existing StockItem evidence.
BOILING,\bBOILING\b,description-token,AMBIGUOUS,BA0014832,Zip Water,4,"BA0014832:Zip Water:3; BA0000785:MILESTONE DISTRIBUTORS:2; BA0000779:LG Electronics U.S.A., Inc.:1",,01043466; 01046202; 01046205; 01048498,Token BOILING has multiple plausible vendors from existing StockItem evidence.
BRACKET,\bBRACKET\b,description-token,AMBIGUOUS,BA0000727,Graff Faucets Co.,4,BA0000727:Graff Faucets Co.:7; BA0000715:Dornbracht GmbH & Co. KG:6; BA0000748:Santec:5; BA0000006:California Faucets:3; BA0000663:Hafele:3; BA0000733:Jaclo:2,,27812970-060010; 28060970-99; G-8719-SG; P21652-00-BN,Token BRACKET has multiple plausible vendors from existing StockItem evidence.
CHILLED,\bCHILLED\b,description-token,AMBIGUOUS,BA0014832,Zip Water,4,BA0014832:Zip Water:8; BA0000536:Southwest Plumbing Supply:3; BA0000277:HAMMERTON:2; BA0000785:MILESTONE DISTRIBUTORS:2; BA0000750:The Stock Market:1,,01043466; 01046202; 01046205; 01048498,Token CHILLED has multiple plausible vendors from existing StockItem evidence.
CHILLED SPARKLING,\bCHILLED[\\s-]+SPARKLING\b,description-token,AMBIGUOUS,BA0000750,The Stock Market,4,BA0000750:The Stock Market:1; BA0014832:Zip Water:1,,01043466; 01046202; 01046205; 01048498,Token CHILLED SPARKLING has multiple plausible vendors from existing StockItem evidence.
COMBI,\bCOMBI\b,description-token,AMBIGUOUS,BA0000784,Miele,4,BA0000784:Miele:50; BA0000001:BSH Home Appliances:11,,DGC7880CTS; DGC7580; DGC7860AMGRG; DGC7880GRG,Token COMBI has multiple plausible vendors from existing StockItem evidence.
COMBI STEAM,\bCOMBI[\\s-]+STEAM\b,description-token,AMBIGUOUS,BA0000784,Miele,4,BA0000784:Miele:52; BA0000001:BSH Home Appliances:17; BA0001908:BSH HOME APPLIANCES:1; BA0000773:Fisher & Paykel:1,,DGC7880CTS; DGC7580; DGC7860AMGRG; DGC7880GRG,Token COMBI STEAM has multiple plausible vendors from existing StockItem evidence.
COMMERCIAL,\bCOMMERCIAL\b,active-vendor-alias,AMBIGUOUS,BA0000003,Whirlpool Corporation,4,"BA0000003:Whirlpool Corporation:46; BA0000772:Summit Appliance / Felix Storch, INC:9; BA0009091:Whirlpool - 4002081576 - MQ - MLD - UTAH/IDAHO BUILDERS:5; BA0006987:KATOM RESTAURANT SUPPLY:3; BA0009080:Whirlpool - 4001335559 ARRIVE HOMES:3; BA0000787:Mode Distributing LLC:2",BA0005784:Commercial Tire,01043466; 01046202; 01046205; 01048498,Token COMMERCIAL has multiple plausible vendors from existing StockItem evidence.
DECORATIVE,\bDECORATIVE\b,active-vendor-alias,AMBIGUOUS,BA0000006,California Faucets,4,"BA0000006:California Faucets:10; BA0000733:Jaclo:8; BA0000007:Rohl, LLC:6; BA0000727:Graff Faucets Co.:4; BA0000739:Mountain Plumbing Products:4; BA0000714:Delta Faucet Company:3",BA0000713:Decorative Plumbing Distributors,QDB4PPS; QDB4PSB; RQD52PPS; RQD52PSB,Token DECORATIVE has multiple plausible vendors from existing StockItem evidence.
DESIGN,\bDESIGN\b,active-vendor-alias,AMBIGUOUS,BA0014832,Zip Water,4,BA0014832:Zip Water:1; BA0000725:Geberit:1; BA0000784:Miele:1; BA0000682:Richelieu Hardware LTD:1,BA0000333:J2 Design; BA0000754:Trim By Design; BA0001372:Design West Carpets & Interiors; BA0001567:JB Design; BA0002752:H&H Design; BA0003435:Modern Design Build; BA0009005:DH Design Studio,01041881; K-77967-2MB; K-T14429-4-BN; RA051-44,Token DESIGN has multiple plausible vendors from existing StockItem evidence.
DROP,\bDROP\b,description-token,AMBIGUOUS,BA0000008,"Waterworks Operating Co., LLC",4,"BA0000008:Waterworks Operating Co., LLC:11; BA0008642:BOCCHI - Sanikey USA Inc.:5; BA0000649:Classic Brass:4; BA0000717:Duravit:3; BA0000700:Water Street Brass:3; BA0000733:Jaclo:3",,B016AB; K-1848-0; K-25834-0; UNLV22-BWHI,Token DROP has multiple plausible vendors from existing StockItem evidence.
FRAMED,\bFRAMED\b,description-token,AMBIGUOUS,BA0000002,Roth Living,4,BA0000002:Roth Living:9; BA0000784:Miele:4; BA0000696:Turnstyle Designs LTD:2; BA0000773:Fisher & Paykel:2; BA0000001:BSH Home Appliances:1; BA0000003:Whirlpool Corporation:1,,K-31364-BGL; K-31364-BNL; K-31373-BNL; K-35570-BNL,Token FRAMED has multiple plausible vendors from existing StockItem evidence.
INDUSTRIAL,\bINDUSTRIAL\b,active-vendor-alias,AMBIGUOUS,BA0000759,"Waterstone, LLC",4,"BA0000759:Waterstone, LLC:25; BA0000006:California Faucets:17; BA0000008:Waterworks Operating Co., LLC:14",BA0012114:Industrial Battery Supply,FV203/J1.0-UPB; HLR048-ULB; V702-TLK-BG; V7KALL17-3LL-BG,Token INDUSTRIAL has multiple plausible vendors from existing StockItem evidence.
METRO,\bMETRO\b,active-vendor-alias,AMBIGUOUS,BA0000645,Berenson Corp.,4,"BA0000645:Berenson Corp.:15; BA0000009:Rocky Mountain Hardware, Inc.:10; BA0000730:Hydro Systems Inc.:6; BA0000006:California Faucets:1; BA0021587:Energy Distribution Systems (EDS):1; BA0000641:Ashley Norton Inc.:1","BA0022856:Metro Porcelain and Fiberglass Repair, LLC",2540-1410-52; 2540-1410-56; 2540-1570-52; 2540-1570-56,Token METRO has multiple plausible vendors from existing StockItem evidence.
METROPOLE,\bMETROPOLE\b,description-token,AMBIGUOUS,BA0000714,Delta Faucet Company,4,BA0000714:Delta Faucet Company:5; BA0000743:Newport/Brasstech:4,,1200-5103-10; 1200-5103-15; 1200-5503-15; 1200-5623-15,Token METROPOLE has multiple plausible vendors from existing StockItem evidence.
MIDNIGHT,\bMIDNIGHT\b,description-token,AMBIGUOUS,BA0000666,Hardware Renaissance,4,"BA0000666:Hardware Renaissance:9; BA0000714:Delta Faucet Company:7; BA0000787:Mode Distributing LLC:7; BA0000536:Southwest Plumbing Supply:5; BA0001331:Bridgeport Worldwide, LLC:3; BA0000003:Whirlpool Corporation:3",,3013-30; 3213-30; 328-30; 3-3231-30,Token MIDNIGHT has multiple plausible vendors from existing StockItem evidence.
SPARKLING,\bSPARKLING\b,description-token,AMBIGUOUS,BA0014832,Zip Water,4,"BA0014832:Zip Water:9; BA0000007:Rohl, LLC:1; BA0000750:The Stock Market:1; BA0000785:MILESTONE DISTRIBUTORS:1",,01043466; 01046202; 01046205; 01048498,Token SPARKLING has multiple plausible vendors from existing StockItem evidence.
SPARKLING FOR,\bSPARKLING[\\s-]+FOR\b,description-token,AMBIGUOUS,BA0014832,Zip Water,4,BA0014832:Zip Water:4; BA0000785:MILESTONE DISTRIBUTORS:1,,01043466; 01046202; 01046205; 01048498,Token SPARKLING FOR has multiple plausible vendors from existing StockItem evidence.
STEAM,\bSTEAM\b,description-token,AMBIGUOUS,BA0000753,Atmos Project LLC DBA Mr. Steam,4,"BA0000753:Atmos Project LLC DBA Mr. Steam:43; BA0000784:Miele:12; BA0000804:Arrow Industries:6; BA0000008:Waterworks Operating Co., LLC:3",,DGC7880CTS; DGC7580; DGC7860AMGRG; DGC7880GRG,Token STEAM has multiple plausible vendors from existing StockItem evidence.
VINTAGE,\bVINTAGE\b,active-vendor-alias,AMBIGUOUS,BA0000008,"Waterworks Operating Co., LLC",4,"BA0000008:Waterworks Operating Co., LLC:43; BA0000643:Baldwin Hardware:5",BA0009766:Vintage Restaurant,07-97400-67866; 38-1EX4-L-EV4-VB; 38-3.91T-EV4-VB; BTB010-VTB,Token VINTAGE has multiple plausible vendors from existing StockItem evidence.
WARMER,\bWARMER\b,description-token,AMBIGUOUS,BA0000703,Amba Towel Warmers,4,"BA0000703:Amba Towel Warmers:15; BA0000757:Vogue USA:11; BA0000008:Waterworks Operating Co., LLC:10; BA0000670:Kartners Bathroom Accessories:6; BA0000002:Roth Living:3; BA0021299:Ico Bath:3",,EVW201-DB; S2932SB.2; TUS-0920600-BN; W0013.GM,Token WARMER has multiple plausible vendors from existing StockItem evidence.
BROOKLYN,\bBROOKLYN\b,description-token,BUSINESS_RULE_APPROVAL,BA0000760,Watermark,4,BA0000760:Watermark:32,,31-7.3PG2-BKA1-APB; 31-HAF-UPB; 31-HSHK3-UPB; 31-T20-BK-UPB,"Existing vendor-populated StockItems consistently map BROOKLYN to BA0000760 in 32/32, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
CORSANO,\bCORSANO\b,description-token,BUSINESS_RULE_APPROVAL,BA0000006,California Faucets,4,BA0000006:California Faucets:56,,K51-100SQ-ST-SBZ; K51-101SQ-ST-ANF; K51-103-ST-BNU; K51-103-ST-GRP,"Existing vendor-populated StockItems consistently map CORSANO to BA0000006 in 56/56, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
DUSTRIE,\bDUSTRIE\b,description-token,BUSINESS_RULE_APPROVAL,BA0016237,Phylrich,4,BA0016237:Phylrich:13,,371-12-10/047; 371-74/047; 371-75/047; 371-76/047,"Existing vendor-populated StockItems consistently map DUSTRIE to BA0016237 in 13/13, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
HIGHGATE,\bHIGHGATE\b,description-token,BUSINESS_RULE_APPROVAL,BA0000008,"Waterworks Operating Co., LLC",4,"BA0000008:Waterworks Operating Co., LLC:52",,HGHS01-18B; HGVC40-B; HGXT40-18N; HGXT60-18B,"Existing vendor-populated StockItems consistently map HIGHGATE to BA0000008 in 52/52, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
